platform,original_link,post_time,title,view_count,like_count,price,images,description,category,status,seller_location,expiration_date,market_price,capacity,parking,options,check_in_out_time,shipping_fee,transaction_location,transaction_method
번개장터,https://bunjang.co.kr/products/277058879,2024-10-04 16:38:37,오사카 뉴 한큐 호텔 양도 (7월11일 ~ 12일),19,1,60000,https://media.bunjang.co.kr/product/277058879_{cnt}_1719993343_w{res}.jpg,"오사카 뉴 한큐 호텔 트윈베드룸 양도합니다!
원래 가격은 12만원 입니다! 6만원 반값 양도합니다ㅠㅠㅠ먼저 연락주시는분에게 양도하겠습니다~!

예약사이트에서 직접 이름변경 양도 해준다고 확답 받아놓은 상태입니다~!",여행/숙박/렌트,판매완료,N/A,,,,,,,,,
번개장터,https://bunjang.co.kr/products/288734578,2024-09-10 16:38:37,이비스 스타일 앰배서더 인천 에어포트 9.16-18,21,0,50000,https://media.bunjang.co.kr/product/288734578_{cnt}_1726203022_w{res}.jpg,"이비스 스타일 앰배서더 인천 에어포트  슈페리어 더블
9월 16일-18일 2박3일 5만원 

27만원에 예약했는데 개인 일정 변경으로 방문이 불가하나,
숙박앱에서 취소가 안되어 절반 이하로 판매합니다.
숙소에는 양도 가능 확인했습니다.
구매시 숙소에 이름 변경 및 예약 페이지 전달  드립니다.

당일 1박 14만원  보다 저렴하게 2박3일을  구매하세요.",여행/숙박/렌트,판매완료,N/A,,,,,,,,,
번개장터,https://bunjang.co.kr/products/237229536,2024-09-29 16:38:37,용산 푸드익스체인지 식사권(숙박권 별도)드래곤시티 노보텔 호텔,1104,33,100000,https://media.bunjang.co.kr/product/237229536_{cnt}_1721989698_w{res}.jpg,"후불제 또는 식사권 직거래입니다.
단체 식사 가능

1. 용산 푸드익스체인지 주중 디너 1인 - 10만
(정상가 성인 1인 13.5만원)

2. 용산 푸드익스체인지 주말 런치, 디너 1인 - 11.5만원
(정상가 성인 1인 15만원)

서울 직거래 가능",외식,판매중,용산구 용산2가동,,,,,,,,,
번개장터,https://bunjang.co.kr/products/291221332,2024-09-27 16:38:37,11/1-11/5 하바나 나트랑 호텔 양도,15,1,170000,https://media.bunjang.co.kr/product/291221332_{cnt}_1727348449_w{res}.jpg,"호텔 이름: 프리미어 하바나 나트랑 호텔
룸 타입: 디럭스 씨 뷰 퀸룸
날짜: 11/1-11/5 4박
양도 가격: 160,000원
인원: 2인

4명 가족 여행이였는데 한 분이 갑자게 편찮으셔 두 분이 못가게 되어 방 한개 양도합니다!
나트랑 시내랑도 가깝고 호텔방에서 바다 보이는 룸 입니다!!",여행/숙박/렌트,판매중,광주시 광남동,,,,,,,,,
번개장터,https://bunjang.co.kr/products/288971966,2024-09-30 16:38:37,더숨포레스트호텔 빌라테라스 숙박권 팝니다.,62,2,360000,https://media.bunjang.co.kr/product/288971966_{cnt}_1726066404_w{res}.jpg,"더숨포레스트호텔 빌라 테라스 숙박권 팝니다.
여러장 있어 한 장 판매 합니다.

기본5명인데  3명 추가 할인적용해서 무료로
8명까지 가능합니다!

방2개, 화장실2개, 거실 있는 20평대 객실이구요!
개별 테라스도 있어, 식사 하시거나 바베큐 사전예약 하시면 개별 테라스에서 바베큐 진행 가능하세요.

주말요금 기준 563,000 원인데, 할인가 36만원에 판매하구요-! 올해 연말까지 주중/주말 관계없이 사용 가능하십니다. 올해 연말 가족끼리 특별한 시간 보내셔도 좋을 것 같아요! 

구매 하시면, 숙박권 넘겨드리거나 숙박권 받기 귀찮으시면 대신 예약 잡아드려요!",여행/숙박/렌트,판매중,관악구 난곡동,,,,,,,,,
번개장터,https://bunjang.co.kr/products/291171042,2024-10-01 16:38:37,(마지막 파격 할인) 멜리아 호텔 치앙마이 10/9-10/12 저렴하게,15,2,200000,https://media.bunjang.co.kr/product/291171042_{cnt}_1727751321_w{res}.jpg,"멜리아 호텔 치앙마이 저렴하게 양도합니다!!
실제 양도하실 분만 연락주세요🥹",여행/숙박/렌트,판매중,N/A,,,,,,,,,
번개장터,https://bunjang.co.kr/products/291895184,2024-10-01 16:38:37,파리 마레 중심지 호텔 2박 숙박권_트윈 or 더블_50% 할인,7,1,330000,https://media.bunjang.co.kr/product/291895184_{cnt}_1727709573_w{res}.jpg,"파리 마레 중심지인 생폴 역 근처 호텔 에밀입니다. 

2박에 더블or트윈 

3박 예약했다가 하루만 묵어서 나머지 2박은 숙박 바우처를 받았어요. 

올해 말까지 예약하면 내년에 묵을 수 있습니다. 원래 가격보다 50% 할인한 가격이에요. 

마레 중심지라 무엇보다 동네가 안전하고 근처에 걸어서도 가볼 데가 많아요. 

그리고 메트로가 바로 앞에 있어서 이동하기 편하고요. 내년에 파리 여행 계획 중이시라면 가성비 좋은 호텔입니다.

https://www.agoda.com/ko-kr/hotel-emile/hotel/paris-fr.html
자세한 사진과 정보는 사이트 참고해주세요!",여행/숙박/렌트,판매중,N/A,,,,,,,,,
번개장터,https://bunjang.co.kr/products/233701188,2024-09-26 16:38:37,미개봉 웨스 앤더슨 컬렉션 책 그랜드 부다페스트 호텔 프렌치 디스패치,375,24,20000,https://media.bunjang.co.kr/product/233701188_{cnt}_1712800235_w{res}.jpg,"웨스 앤더슨 컬렉션 책 
미개봉 상품으로 보내드립니다.   (1권 남음)

📢 확실히 구매하실 분만 톡 보내주세요‼️

📦 우체국택배",시/소설,판매중,N/A,,,,,,,,,
번개장터,https://bunjang.co.kr/products/281522481,2024-09-30 16:38:37,신라호텔 숙박권,177,3,1000000,https://media.bunjang.co.kr/product/281522481_{cnt}_1721967703_w{res}.jpg,이그제큐티브 그랜드 디럭스룸,여행/숙박/렌트,판매중,N/A,,,,,,,,,
번개장터,https://bunjang.co.kr/products/251583592,2024-10-04 16:38:37,메리어트 10만 포인트,154,2,990000,https://media.bunjang.co.kr/product/251583592_{cnt}_1706676144_w{res}.jpg,"26년까지 사용 가능한 따끈 따끈한 메리어트 포인트 10만 점 판매합니다.

18만 포인트 있지만 1년 양도 한도가 10만 포인트라 나머지는 내년에 판매하려고 합니다.

구매시 필요사항 
1. 메리어트 멤버쉽 가입3개월이상 2.
본보이 메리어트 회원번호 3. 가입 이메일 주소 4. 영문성명

연락 주세요!",여행/숙박/렌트,판매완료,유성구 온천1동,,,,,,,,,
